configuration,checkpoint,sparsity,accuracy,avg_jacobian_norm,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar61.45.pth,61.45216962524655,70.31,37.4257015625,201.03133366003203,7.660027344521216,2.8357186969254395,3.746398999784388,2.699037633851585,4.686856946926194,2.4399936223963077,4.1052066981385495,2.38446509069998,3.5205663859226415,3.4530492160040165,3.609858153070439,2.764997862991764,3.5659506412257196,2.3470394834856556,2.5579703057977867,2.3246592495315634,2.7616244785865014,2.392183997282902
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar71.98.pth,71.9823979439364,69.18,39.38254375,6582.123760519999,3.5647787741337984,4.4821244304307735,4.267556607661621,4.345345509875508,4.722055260521119,2.6286202963893452,7.684160575142968,2.8205688917732425,4.668923705180359,4.143026469381467,4.964439480276092,3.0132296543426422,4.881844363585433,2.9997345477706396,3.7625318688988627,2.731490658464602,3.526340557838549,2.6969734164805517
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar79.56.pth,79.56039686808919,68.95,44.8285375,498.3454790769695,6.673713453623973,3.7791147977752657,9.821406270740463,6.473481454619526,9.843854007506021,5.778611825770196,9.34315560679624,3.177330356384491,7.433055516147609,4.644049001127125,8.687383622003681,6.192227214298328,6.655631126563251,3.5817763619095113,4.238462387008681,4.213135504550164,4.949212277282091,3.575841367828739
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar85.12.pth,85.11894088817165,71.17,59.89923203125,3492.1377216634437,25.297841866253677,25.816386162435034,44.057643023497796,21.864127106908395,39.64358084187997,26.52256766729438,37.797099320421715,16.197388845555317,28.132091597733872,3.803649470987142,28.23436377076886,4.218495190056058,26.04238514816275,5.075226835439869,20.12316636732455,3.7917259887940142,19.852053881641936,5.020591607708911
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar89.21.pth,89.20865459326997,70.59,46.265040625,668.1098537284897,40.325504025319546,19.432016731305392,22.59584394909321,17.90478824362466,27.651047828487606,20.8171174496269,27.233449343918654,12.677991485722389,18.15656401077529,7.695106814905301,30.392351899896703,5.307137930326005,39.90835422362934,5.658400288830213,14.500159538534788,7.299694583981152,17.612111697196024,6.478200726959607
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/2/checkpoint_spar92.10.pth,92.10298248759787,66.02,43.90179375,136.18722814421739,16.607277328057645,5.813172663120773,7.557698179669463,6.5643414876611565,8.645740821877997,4.15658050259092,9.088705665618305,6.782159209019435,7.2229172764870375,5.000873910202697,11.187617627627354,5.811885996693126,7.977399637769528,3.8625971625714404,4.9594474440421115,4.481300203266065,4.764564044246576,4.066242984435433
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar0.00.pth,0.0,73.45,34.16462421875,6.45776346632278,1.6557120962159644,2.120979499938713,1.8424645248403255,1.7057969084944797,2.190738195260934,1.8032590642753479,2.510633083464882,2.0043225239889595,1.9421342749151314,2.120871413661087,1.9567775285686493,2.0250167891180144,2.9317058840875405,2.386823512364626,2.657000443037623,2.8028296775941337,2.9181739007711247,3.4063053444917575
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar27.37.pth,27.367984579523043,75.13,62.99558125,43.23277306236897,6.7773017182634865,6.099377961077533,10.28832487678114,5.5288869321375635,6.817715920622206,4.615748996976974,8.146947316085173,3.485088961878578,6.5471267435928455,4.478133610595892,5.630230087405353,2.8906236318326877,7.5385469740465885,4.090113517831284,5.235413297026711,4.06937380994771,5.6251160988110955,3.7275282661452387
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar47.12.pth,47.11538461538461,74.62,42.13916875,78.10959921980216,6.756555899810923,4.230014455393405,5.6005976083470035,3.44552462293097,4.811390112252943,2.7548762608559514,5.769517206139484,2.9338924819075203,4.682006452541869,3.2243889185364747,3.8233961675742703,2.8182648945272044,4.439443410226747,2.6188430320304956,3.340106746038079,2.7840706828080246,3.2094937129953944,2.693396520613436
smooth_no_rewind,/project/nr_haml2025/endomet/irwl1-adaptation/models/smooth_no_rewind/3/checkpoint_spar61.42.pth,61.418922957384495,73.77,51.15349921875,351.2842697396418,6.678889314350097,5.160540058857465,7.239610117334301,6.0162040869099735,9.055935646368923,6.697644505847305,6.001595294824125,3.5440577508892352,5.850729686745584,3.816094699993665,6.21340114529535,3.9687235279254147,5.598537712794802,3.3147898164173184,4.96975103606717,3.538957416678792,4.880316393975512,3.0168348781850156
